Date, Close/Last, Volume, Open, High, Low
9/15/2020,$115.54 ,184642000,$118.33 ,$118.83 ,$113.61 
9/14/2020,$115.36 ,140150100,$114.72 ,$115.93 ,$112.80 
9/11/2020,$112 ,180860300,$114.57 ,$115.23 ,$110 
9/10/2020,$113.49 ,182274400,$120.36 ,$120.50 ,$112.50 
9/9/2020,$117.32 ,176940500,$117.26 ,$119.14 ,$115.26 
9/8/2020,$112.82 ,231366600,$113.95 ,$118.99 ,$112.68 
9/4/2020,$120.96 ,332607200,$120.07 ,$123.70 ,$110.89 
9/3/2020,$120.88 ,257599600,$126.91 ,$128.84 ,$120.50 
9/2/2020,$131.40 ,200119000,$137.59 ,$137.98 ,$127 
9/1/2020,$134.18 ,152470100,$132.76 ,$134.80 ,$130.53 
8/31/2020,$129.04 ,225702700,$127.58 ,$131 ,$126 
8/28/2020,$124.81 ,187629920,$126.01 ,$126.44 ,$124.58 
8/27/2020,$125.01 ,155552400,$127.14 ,$127.49 ,$123.83 
8/26/2020,$126.52 ,163022280,$126.18 ,$126.99 ,$125.08 
8/25/2020,$124.83 ,211495800,$124.70 ,$125.18 ,$123.05 
8/24/2020,$125.86 ,345937760,$128.70 ,$128.79 ,$123.94 
8/21/2020,$124.37 ,338054640,$119.26 ,$124.87 ,$119.25 
8/20/2020,$118.28 ,126907200,$115.75 ,$118.39 ,$115.73 
8/19/2020,$115.71 ,145538000,$115.98 ,$117.16 ,$115.61 
8/18/2020,$115.56 ,105633560,$114.35 ,$116 ,$114.01 
8/17/2020,$114.61 ,119561440,$116.06 ,$116.09 ,$113.96 
